hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ2011_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2011_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,race21_t1,race26_t1,occ2012_t1,docc00_t1,dind02_t1,year_file_y,pair_type,pair,stayed_public,exited_public,switched_class94,analytic_sample
197983505071798,1,2.0,1,4,2,8800,88001,1,1,33,17,16980,0,2.0,1.0,,7,3,41,1.0,2,43,1,,2,1,2,1,2,147,147,147,4,0,17,1.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,1250.0,1.0,,,,,11755.6619,2833.9897,14,3,0.0,,0,0,18350,2,,,,2.0,,,2838.8845,9570.0,1720.0,-1,,,,,,,11686.0,2011,612,609,0,1,1,1,1,16.0,5.0,51.0,2011,2.0,1,8,2,8800,88001,1,17,16980,0,2.0,1.0,,7,3,42,1.0,2,43,1,,1,2,1,2,147,147,147,4,0,17,1.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,1346.15,1.0,,,,,11129.7091,2764.9853,10,3,0.0,,0,0,44655,2,,,,2.0,,,2759.4678,9570.0,6010.0,-1,,,,,,,11561.0,2012,624,609,0,0,1,1,0,16.0,1.0,,,18.0,51.0,2012,MIS4_to_MIS8,2011-2012,True,False,False,1
260178000213820,1,1.0,1,4,2,8800,88001,1,1,33,17,16980,0,2.0,1.0,,7,1,57,2.0,2,40,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,826.92,2.0,2.0,,,,12737.5963,3163.0875,0,0,0.0,,0,0,47980,1,,,3.0,,,,3138.4653,7860.0,5120.0,-1,,,,,,,11711.0,2011,612,609,0,0,0,0,0,14.0,17.0,40.0,2011,2.0,1,8,2,8800,88001,1,17,16980,0,2.0,1.0,,7,1,58,2.0,2,40,1,,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,6.0,32.0,,,6.0,,,4.0,4.0,0.0,1,2.0,2.0,2.0,,390.0,2.0,2.0,,,,11054.8566,2693.9319,0,0,1.0,,0,42,44698,1,,,3.0,,,,2713.7,7860.0,5700.0,-1,,,,,,,11586.0,2012,624,609,0,0,0,0,0,14.0,1.0,,,17.0,40.0,2012,MIS4_to_MIS8,2011-2012,False,True,True,1
310709848086710,1,2.0,1,4,2,8800,88001,1,1,33,17,16980,0,2.0,1.0,,7,1,69,2.0,1,44,1,,1,1,1,1,2,132,132,132,4,0,4,2.0,1.0,,45.0,,40.0,,,,,,2.0,2.0,0.0,1,1.0,,1.0,2200.0,1045.0,1.0,,,,,13137.0313,3064.6753,0,0,0.0,0.0,0,0,6736,1,,,,,,2.0,3045.5315,7580.0,5240.0,-1,4.0,,,,,,11745.0,2011,612,609,0,0,0,0,0,18.0,17.0,38.0,2011,2.0,1,8,2,8800,88001,1,17,16980,0,2.0,1.0,,7,1,70,2.0,1,44,1,,1,1,1,2,132,132,132,4,0,5,2.0,1.0,,38.0,,38.0,,,,,,2.0,2.0,0.0,1,2.0,1.0,1.0,2200.0,817.5,1.0,,,,,11423.4568,2822.946,0,0,0.0,0.0,0,0,8621,1,,,,,,2.0,2747.4921,7580.0,5240.0,-1,4.0,,,,,,11621.0,2012,624,609,0,0,0,0,0,18.0,1.0,,,17.0,38.0,2012,MIS4_to_MIS8,2011-2012,True,False,False,1
403902171697837,1,1.0,7,4,2,8800,88001,1,1,33,17,16980,0,2.0,1.0,,7,2,64,,2,43,1,,1,0,0,5,2,57,57,57,1,0,0,1.0,1.0,,50.0,,72.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1115.38,1.0,,,,,13042.4968,3151.361,0,0,0.0,,0,0,30497,1,,,,1.0,1.0,,3163.6151,7860.0,2310.0,4760,,,,,,,11786.0,2011,612,609,0,0,0,0,0,18.0,8.0,40.0,2011,1.0,7,8,2,8800,88001,1,17,16980,0,2.0,1.0,,7,2,65,,2,43,1,,0,0,5,2,57,57,57,1,0,0,1.0,1.0,,46.0,,37.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1211.53,1.0,,,,,10315.6866,2683.7032,0,0,0.0,,0,0,21674,1,,,,1.0,1.0,,2637.2598,7860.0,2310.0,4760,,,,,,,11661.0,2012,624,609,0,0,0,0,0,18.0,1.0,,,8.0,40.0,2012,MIS4_to_MIS8,2011-2012,True,False,False,1
571897053908197,1,1.0,1,4,2,8800,88001,1,1,33,17,16980,0,2.0,1.0,,7,1,50,2.0,1,39,1,,1,1,1,1,2,57,57,57,1,0,0,3.0,1.0,,40.0,,40.0,,,,,,2.0,1.0,0.0,1,1.0,,1.0,2500.0,1185.0,1.0,,,,,13187.7219,3274.4664,4,1,0.0,0.0,0,0,47939,1,1.0,,,,,,3259.0562,6370.0,5550.0,4220,,,,,,,11831.0,2011,612,609,0,0,0,1,0,12.0,17.0,23.0,2011,2.0,1,8,2,8800,88001,1,17,16980,0,2.0,1.0,,7,1,51,2.0,1,39,1,,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,42.0,,42.0,,,,,,2.0,1.0,0.0,1,1.0,1.0,1.0,2500.0,1057.69,1.0,,,,,10997.7991,2819.0951,4,1,0.0,0.0,0,0,4624,1,1.0,,,,,,2794.0661,6370.0,5550.0,-1,,,,,,,11721.0,2012,624,609,0,0,0,1,0,12.0,1.0,,,17.0,23.0,2012,MIS4_to_MIS8,2011-2012,True,False,False,1
727399230829100,1,2.0,1,4,2,8800,88001,1,1,33,17,16980,0,2.0,1.0,,7,3,47,1.0,2,39,1,,2,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,10.0,,10.0,,,15.0,,,6.0,2.0,0.0,1,2.0,1.0,1.0,1356.0,115.38,2.0,2.0,,,,13128.992,3374.9567,10,2,0.0,0.0,0,0,18291,2,1.0,,,,,,3363.5104,7860.0,4600.0,-1,,,,,,,11901.0,2011,612,609,0,0,1,1,0,12.0,15.0,40.0,2011,2.0,1,8,2,8800,88001,1,17,16980,0,2.0,1.0,,7,3,48,1.0,2,39,1,,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,36.0,,46.0,,,,,,2.0,4.0,0.0,1,2.0,1.0,1.0,900.0,250.0,2.0,2.0,,,,11889.7902,2892.21,10,2,0.0,0.0,0,0,21675,2,1.0,,,,,,2930.9981,5070.0,4720.0,230,,,,,,,11801.0,2012,624,609,0,0,1,1,0,12.0,1.0,,,16.0,22.0,2012,MIS4_to_MIS8,2011-2012,False,True,True,1
907419530909104,1,2.0,1,4,2,8800,88001,1,1,33,17,16980,0,2.0,1.0,,7,1,54,2.0,1,44,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,60.0,,70.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,2142.85,1.0,,,,,13187.7219,3274.4664,0,0,0.0,,0,0,15311,1,,,,,,2.0,3259.0562,7860.0,2320.0,-1,,,,,,,11974.0,2011,612,609,0,0,0,0,0,18.0,8.0,40.0,2011,2.0,1,8,2,8800,88001,1,17,16980,0,2.0,1.0,,7,1,54,2.0,1,44,1,,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,60.0,,60.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1500.0,1.0,,,,,10997.7991,2819.0951,0,0,0.0,,0,0,4620,1,,,,,,2.0,2794.0661,7860.0,2320.0,-1,,,,,,,11881.0,2012,624,609,0,0,0,0,0,18.0,1.0,,,8.0,40.0,2012,MIS4_to_MIS8,2011-2012,True,False,True,1
907419530909104,1,2.0,1,4,2,8800,88001,1,1,33,17,16980,0,2.0,1.0,,7,3,54,1.0,2,44,1,,2,1,2,1,2,110,110,110,4,0,2,2.0,1.0,,60.0,,65.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,2638.88,1.0,,,,,12584.2475,3212.5626,0,0,0.0,,0,0,15311,2,,,,,,2.0,3223.9526,7860.0,2320.0,-1,,,,,,,11975.0,2011,612,609,0,0,0,0,0,18.0,8.0,40.0,2011,2.0,1,8,2,8800,88001,1,17,16980,0,2.0,1.0,,7,3,54,1.0,2,44,1,,1,2,1,2,110,110,110,4,0,2,1.0,1.0,,55.0,,55.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1576.92,1.0,,,,,11517.9566,2828.2438,0,0,0.0,,0,0,4620,2,,,,,,2.0,2839.336,7860.0,2320.0,-1,,,,,,,11882.0,2012,624,609,0,0,0,0,0,18.0,1.0,,,8.0,40.0,2012,MIS4_to_MIS8,2011-2012,True,False,True,1
950077924139550,1,1.0,1,4,2,8800,88001,1,1,33,17,16980,0,2.0,1.0,,7,3,41,1.0,2,44,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1153.0,1.0,,,,,11755.6619,2833.9897,8,2,1.0,,0,42,47982,2,,,,,,2.0,2838.8845,7860.0,2310.0,-1,,,,,,,11998.0,2011,612,609,0,1,1,0,1,18.0,8.0,40.0,2011,1.0,1,8,2,8800,88001,1,17,16980,0,2.0,1.0,,7,3,42,1.0,2,44,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,6041.0,2416.4,1.0,,,,,11129.7091,2764.9853,3,2,1.0,1.0,0,42,63085,2,,,,,,2.0,2759.4678,7860.0,2310.0,-1,,,,,,,11901.0,2012,624,609,0,0,1,0,0,18.0,1.0,,,8.0,40.0,2012,MIS4_to_MIS8,2011-2012,True,False,False,1
977559430229105,1,2.0,4,4,2,8800,88001,1,1,33,17,0,0,3.0,2.0,,0,1,48,,2,35,1,,1,1,1,3,2,57,57,57,1,0,0,1.0,1.0,,40.0,5.0,20.0,,,5.0,,,4.0,3.0,0.0,1,2.0,,1.0,1964.0,785.6,1.0,,,,,13215.5277,3397.2017,0,0,0.0,0.0,0,0,6698,1,,,,,,,3385.68,6180.0,9120.0,-1,,,,,,,12224.0,2011,612,609,0,0,0,0,0,9.0,22.0,23.0,2011,1.0,4,8,2,8800,88001,1,17,0,0,3.0,2.0,,0,1,49,,2,39,1,,1,1,3,2,57,57,57,1,0,0,1.0,1.0,,40.0,,55.0,,,,,,2.0,3.0,0.0,1,2.0,1.0,1.0,1902.0,760.0,1.0,,,,,11894.3281,2893.3138,0,0,0.0,0.0,0,0,51685,1,2.0,5.0,,,,,2932.1168,6180.0,9120.0,4760,,,,,,,12123.0,2012,624,609,0,0,0,0,0,9.0,1.0,,,22.0,23.0,2012,MIS4_to_MIS8,2011-2012,True,False,False,1
95011370995593,1,2.0,1,4,2,8800,88001,1,1,33,17,28100,91,,1.0,,2,3,48,1.0,2,44,1,,2,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,50.0,,50.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1192.3,1.0,,,,,13281.225,3414.0899,3,2,0.0,,0,0,6865,2,,,,,,2.0,3402.5109,7860.0,2320.0,-1,,,,,,,12249.0,2011,612,609,0,0,1,0,0,18.0,8.0,40.0,2011,2.0,1,8,2,8800,88001,1,17,28100,91,,1.0,,2,3,49,1.0,2,44,1,,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,50.0,,50.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1307.69,1.0,,,,,12027.6545,2925.7457,10,2,0.0,,0,0,21752,2,,,,,,2.0,2964.9836,7860.0,2320.0,-1,,,,,,,12145.0,2012,624,609,0,0,1,1,0,18.0,1.0,,,8.0,40.0,2012,MIS4_to_MIS8,2011-2012,True,False,False,1
