hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state_t,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ00_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,state_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ00_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,pair,stayed_public,moved_private,moved_self_employed,not_employed_t1,retired_t1,exited_public,switched_class94,analytic_sample
171395023908394,1,1.0,6,4,2,8500,85001,1,1,33,17,16980,0,2.0,1.0,,7,2,27,,1,40,2,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,-4.0,13.0,24.0,,,13.0,,,4.0,3.0,0.0,1,1.0,2.0,1.0,1900.0,456.0,1.0,,,,,16066.4152,3664.3584,,,1.0,1.0,0,42,20838,1,,,1.0,,,,3596.0478,9470.0,3740.0,-1,,,,,,,11265.0,2009,588,585,,,,,,12.0,12.0,51.0,2009,1.0,6,8,2,8500,85001,1,33,17,16980,0,2.0,1.0,,7,2,28,,1,40,2,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,48.0,,48.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1153.84,2.0,2.0,,,,17094.7545,4233.0899,0,0,0.0,,0,0,55308,1,,,1.0,,,,4184.7809,9470.0,3740.0,-1,,,,,,,11473.0,2010,600,585,0,0,0,0,0,12.0,12.0,51.0,2010,MIS4_to_MIS8,2009-2010,True,False,False,False,False,False,False,1
310700001226311,1,2.0,1,4,2,8500,85001,1,1,33,17,16980,111,2.0,1.0,,7,1,30,2.0,1,42,1,,1,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,1346.15,1.0,,,,,11684.7576,3045.9696,1.0,1.0,0.0,,0,0,53938,1,,,4.0,,,,3000.8577,7860.0,1460.0,-1,,,,,,,11385.0,2009,588,585,1.0,0.0,0.0,0.0,1.0,15.0,4.0,40.0,2009,1.0,1,8,2,8500,85001,1,33,17,16980,111,2.0,1.0,,7,1,31,2.0,1,42,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,1.0,1.0,3400.0,1442.3,1.0,,,,,10661.5573,2695.7992,1,1,0.0,0.0,0,0,8681,1,,,4.0,,,,2682.2365,7290.0,8610.0,-1,,,,,,,11579.0,2010,600,585,1,0,0,0,1,15.0,21.0,36.0,2010,MIS4_to_MIS8,2009-2010,False,True,False,False,False,True,True,1
310700001226311,1,2.0,1,4,2,8500,85001,1,1,33,17,16980,111,2.0,1.0,,7,3,29,1.0,2,43,1,1.0,2,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,24.0,,12.0,,,18.0,,,7.0,2.0,0.0,1,2.0,2.0,2.0,,769.23,1.0,,,,,13237.1287,3345.1536,1.0,1.0,0.0,,0,0,53938,2,,,,1.0,1.0,,3246.7163,8370.0,2010.0,-1,,,,,,,11386.0,2009,588,585,1.0,0.0,0.0,0.0,1.0,18.0,6.0,43.0,2009,1.0,1,8,2,8500,85001,1,33,17,16980,111,2.0,1.0,,7,3,30,1.0,2,43,1,1.0,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,884.61,2.0,2.0,,,,10573.9873,2542.5434,1,1,0.0,,0,0,8681,2,,,,1.0,1.0,,2549.1373,9480.0,2010.0,-1,,,,,,,11580.0,2010,600,585,1,0,0,0,1,18.0,6.0,51.0,2010,MIS4_to_MIS8,2009-2010,True,False,False,False,False,False,False,1
339196329700836,1,2.0,1,4,2,8500,85001,1,1,33,17,16980,0,2.0,1.0,,7,1,46,2.0,1,43,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,38.0,,48.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1846.15,2.0,2.0,,,,11526.8896,2936.0106,3.0,1.0,0.0,,0,0,7840,1,,,,2.0,,,2931.3323,9370.0,1100.0,-1,3.0,,,,,,11425.0,2009,588,585,0.0,0.0,1.0,0.0,0.0,16.0,3.0,51.0,2009,1.0,1,8,2,8500,85001,1,33,17,16980,0,2.0,1.0,,7,1,47,2.0,1,43,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,38.0,,38.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1948.07,2.0,2.0,,,,12968.6959,3299.1919,3,1,0.0,,0,0,8610,1,,,,2.0,,,3280.51,9370.0,1100.0,-1,3.0,,,,,,11619.0,2010,600,585,0,0,1,0,0,16.0,3.0,51.0,2010,MIS4_to_MIS8,2009-2010,True,False,False,False,False,False,False,1
403902171697837,1,1.0,6,4,2,8500,85001,1,1,33,17,16980,0,2.0,1.0,,7,2,32,,1,44,1,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,45.0,,45.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1500.0,1.0,,,,,11684.7576,3045.9696,,,0.0,,0,0,20663,1,,,,,,2.0,3000.8577,7860.0,2320.0,-1,,,,,,,11443.0,2009,588,585,,,,,,18.0,8.0,40.0,2009,1.0,6,8,2,8500,85001,1,33,17,16980,0,2.0,1.0,,7,2,33,,1,44,1,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,45.0,,45.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1495.38,1.0,,,,,10661.5573,2695.7992,0,0,0.0,,0,0,44352,1,,,,,,2.0,2682.2365,7860.0,2320.0,-1,,,,,,,11631.0,2010,600,585,0,0,0,0,0,18.0,8.0,40.0,2010,MIS4_to_MIS8,2009-2010,True,False,False,False,False,False,False,1
430198688700170,1,1.0,1,4,2,8500,85001,1,1,33,17,16980,0,2.0,1.0,,7,3,38,1.0,1,43,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,50.0,,50.0,,,,,,2.0,1.0,0.0,1,2.0,2.0,2.0,,2640.0,2.0,2.0,,,,11263.279,2824.6543,8.0,3.0,1.0,,0,0,20551,2,,,,1.0,1.0,,2796.5841,9470.0,2100.0,-1,,,,,,,11449.0,2009,588,585,0.0,1.0,1.0,0.0,1.0,18.0,7.0,51.0,2009,1.0,1,8,2,8500,85001,1,33,17,16980,0,2.0,1.0,,7,3,39,1.0,1,45,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,60.0,,,,,,2.0,1.0,0.0,1,2.0,2.0,2.0,,2115.38,2.0,2.0,,,,10181.6165,2549.605,8,3,0.0,,0,0,33895,2,,,,,,,2524.3604,9470.0,2100.0,-1,,,,,,,11638.0,2010,600,585,0,1,1,0,1,18.0,7.0,51.0,2010,MIS4_to_MIS8,2009-2010,True,False,False,False,False,False,False,1
570975090413259,1,1.0,1,4,2,8500,85001,1,1,33,17,16980,0,2.0,1.0,,7,3,54,1.0,2,43,2,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1250.0,2.0,2.0,,,,10664.4682,2787.352,0.0,0.0,1.0,,0,42,42328,2,,,,1.0,2.0,,2744.7507,9370.0,2010.0,-1,,,,,,,11486.0,2009,588,585,0.0,0.0,0.0,0.0,0.0,17.0,6.0,51.0,2009,1.0,1,8,2,8500,85001,1,33,17,16980,0,2.0,1.0,,7,3,55,1.0,2,43,2,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,769.23,2.0,2.0,,,,8728.0467,2463.1218,0,0,0.0,,0,0,21688,2,,,,2.0,,,2451.5002,8370.0,2010.0,-1,,,,,,,11676.0,2010,600,585,0,0,0,0,0,16.0,6.0,43.0,2010,MIS4_to_MIS8,2009-2010,True,False,False,False,False,False,False,1
671944043908593,1,2.0,1,4,2,8500,85001,1,1,33,17,40420,0,2.0,1.0,,3,3,62,1.0,2,43,1,,2,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,45.0,,46.0,,,,,,2.0,1.0,0.0,1,2.0,2.0,2.0,,1315.38,2.0,2.0,,,,10616.3465,2704.1591,0.0,0.0,0.0,,0,0,20859,2,,,,1.0,1.0,,2676.3073,9370.0,5220.0,-1,,,,,,,11510.0,2009,588,585,0.0,0.0,0.0,0.0,0.0,18.0,17.0,51.0,2009,2.0,1,8,2,8500,85001,1,33,17,40420,0,2.0,1.0,,3,3,62,1.0,2,43,1,,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,45.0,,45.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,1315.38,2.0,2.0,,,,14660.3577,3741.8574,0,0,0.0,,0,0,21709,2,,,,1.0,1.0,,3663.4354,9370.0,430.0,-1,,,,,,,11700.0,2010,600,585,0,0,0,0,0,18.0,1.0,51.0,2010,MIS4_to_MIS8,2009-2010,True,False,False,False,False,False,True,1
677087913139360,1,2.0,1,4,2,8500,85001,1,1,33,17,41180,0,2.0,1.0,,6,3,44,1.0,2,39,1,,2,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,30.0,,26.0,,,22.0,,,7.0,2.0,0.0,1,2.0,2.0,2.0,,500.0,2.0,2.0,,,,13021.5343,3318.3729,10.0,3.0,0.0,,0,0,4580,2,1.0,,,,,,3278.379,9470.0,5220.0,5120,,,,,,,11515.0,2009,588,585,0.0,0.0,1.0,1.0,0.0,12.0,17.0,51.0,2009,2.0,1,8,2,8500,85001,1,33,17,41180,0,2.0,1.0,,6,3,45,1.0,2,40,1,,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,30.0,4.0,20.0,,,4.0,,,4.0,2.0,0.0,1,2.0,2.0,2.0,,461.53,2.0,2.0,,,,12038.2841,3103.0295,10,3,0.0,,0,0,42932,2,,,2.0,,,,3041.45,9470.0,5220.0,410,,,,,,,11706.0,2010,600,585,0,0,1,1,0,13.0,17.0,51.0,2010,MIS4_to_MIS8,2009-2010,True,False,False,False,False,False,False,1
710080222680031,1,1.0,1,4,2,8500,85001,1,1,33,17,16980,0,2.0,1.0,,7,4,21,,1,40,1,,3,1,3,7,2,57,57,57,1,0,0,2.0,1.0,,10.0,,10.0,,,20.0,,,7.0,2.0,0.0,1,2.0,,1.0,750.0,60.0,2.0,2.0,1.0,1.0,2.0,13019.5304,3296.2339,,,0.0,0.0,0,0,50123,3,,,3.0,,,,3241.0522,7870.0,5860.0,-1,,,,,2.0,1.0,11532.0,2009,588,585,,,,,,14.0,17.0,40.0,2009,2.0,1,8,2,8500,85001,1,33,17,16980,0,2.0,1.0,,7,4,22,,1,40,1,,1,3,7,2,57,57,57,1,0,0,2.0,1.0,,8.0,,8.0,,,20.0,,,7.0,2.0,0.0,1,2.0,,1.0,800.0,64.0,2.0,2.0,1.0,1.0,2.0,11932.9045,2990.8654,0,0,0.0,0.0,0,0,44487,3,,,4.0,,,,2942.6282,7870.0,2000.0,-1,,,,,2.0,1.0,11719.0,2010,600,585,0,0,0,0,0,15.0,6.0,40.0,2010,MIS4_to_MIS8,2009-2010,True,False,False,False,False,False,False,1
